,Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,MarketCap
12,AXA,FR0000120628,CS,Euronext Paris,EUR,24.60,24.745,24.09,24.225,2021-11-26 17:35:00,CET,14012814,340636217.535,58.617
13,PERNOD RICARD,FR0000120693,RI,Euronext Paris,EUR,207.80,209.00,205.10,206.90,2021-11-26 17:35:00,CET,680038,140904849.60,54.182
14,VINCI,FR0000125486,DG,Euronext Paris,EUR,87.00,87.00,83.63,84.02,2021-11-26 17:35:00,CET,4319248,367459878.12,50.274
15,SARTORIUS STED BIO,FR0013154002,DIM,Euronext Paris,EUR,478.00,524.00,476.10,515.40,2021-11-26 17:35:00,CET,84006,42887310.10,47.51
16,SAFRAN,FR0000073272,SAF,Euronext Paris,EUR,106.60,106.60,99.17,101.10,2021-11-26 17:36:00,CET,2363910,241199883.69,43.194
17,EDF,FR0010242511,EDF,Euronext Paris,EUR,12.365,12.475,12.075,12.17,2021-11-26 17:37:00,CET,5318480,64984135.68,38.431
18,DANONE,FR0000120644,BN,Euronext Paris,EUR,54.76,54.88,53.57,54.33,2021-11-26 17:30:00,CET,3325758,180246587.38,37.362
19,CREDIT AGRICOLE,FR0000045072,ACA,Euronext Paris,EUR,12.074,12.254,11.802,12.066,2021-11-26 17:36:00,CET,11809953,142533811.40,37.308
20,CAPGEMINI,FR0000125338,CAP,Euronext Paris,EUR,198.60,203.90,196.20,200.20,2021-11-26 17:35:00,CET,588570,118315842.55,33.791
21,ENGIE,FR0010208488,ENGI,"Euronext Paris, Brussels",EUR,12.89,12.924,12.656,12.796,2021-11-26 17:35:00,CET,10225014,130873252.306,31.162
22,SAINT GOBAIN,FR0000125007,SGO,"Euronext Paris, Amsterdam, Brussels",EUR,58.45,59.12,56.83,57.09,2021-11-26 17:35:00,CET,2213147,127410755.76,30.404
23,ORANGE,FR0000133308,ORA,Euronext Paris,EUR,9.76,9.812,9.583,9.666,2021-11-26 17:35:00,CET,12089129,117143200.48,25.712
24,LEGRAND,FR0010307819,LR,Euronext Paris,EUR,94.86,96.30,93.82,95.16,2021-11-26 17:35:00,CET,758585,72204188.36,25.45
25,SOCIETE GENERALE,FR0000130809,GLE,Euronext Paris,EUR,27.87,28.095,27.175,27.265,2021-11-26 17:36:00,CET,10055718,276217334.185,23.267
26,MICHELIN,FR0000121261,ML,Euronext Paris,EUR,135.60,136.45,127.50,128.40,2021-11-26 17:35:00,CET,1315508,170594164.30,22.923
27,EUROFINS SCIENT.,FR0014000MR3,ERF,Euronext Paris,EUR,105.00,116.36,104.80,113.72,2021-11-26 17:35:00,CET,769348,86779206.08,21.833
28,TELEPERFORMANCE,FR0000051807,TEP,Euronext Paris,EUR,348.90,362.20,347.00,357.00,2021-11-26 17:35:00,CET,217010,77197563.40,20.969
29,VEOLIA ENVIRON.,FR0000124141,VIE,Euronext Paris,EUR,28.76,28.76,27.75,27.86,2021-11-26 17:35:00,CET,3114173,87304431.89,19.223
30,THALES,FR0000121329,HO,Euronext Paris,EUR,76.38,76.38,73.80,74.46,2021-11-26 17:37:00,CET,739213,55393807.90,15.887
31,BIOMERIEUX,FR0013280286,BIM,Euronext Paris,EUR,123.60,133.20,123.60,130.45,2021-11-26 17:38:00,CET,350277,45759905.60,15.44
32,AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,77.00,77.25,74.65,74.65,2021-11-26 17:35:00,CET,230228,17314219.85,15.16
33,CNP ASSURANCES,FR0000120222,CNP,Euronext Paris,EUR,21.57,21.64,21.57,21.60,2021-11-26 17:35:00,CET,1212220,26169606.71,14.831
34,PUBLICIS GROUPE SA,FR0000130577,PUB,Euronext Paris,EUR,59.02,59.04,57.44,57.66,2021-11-26 17:35:00,CET,1142087,66145490.52,14.607
35,BOLLORE,FR0000039299,BOL,Euronext Paris,EUR,4.774,4.774,4.50,4.714,2021-11-26 17:37:00,CET,1234269,5822624.306,13.894
36,WORLDLINE,FR0011981968,WLN,Euronext Paris,EUR,47.85,48.86,47.285,47.445,2021-11-26 17:35:00,CET,1219645,58376718.19,13.307
37,BUREAU VERITAS,FR0006174348,BVI,Euronext Paris,EUR,28.06,28.50,28.05,28.25,2021-11-26 17:30:00,CET,1271718,35999827.10,12.779
38,SUEZ,FR0010613471,SEV,"Euronext Paris, Brussels",EUR,19.70,19.745,19.69,19.745,2021-11-26 17:35:00,CET,1233160,24319866.10,12.629
39,VIVENDI SE,FR0000127771,VIV,Euronext Paris,EUR,11.14,11.285,11.12,11.175,2021-11-26 17:38:00,CET,4601966,51494519.06,12.388
40,ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,33.00,33.39,32.10,32.31,2021-11-26 17:38:00,CET,2662323,86483139.37,12.061
41,CARREFOUR,FR0000120172,CA,Euronext Paris,EUR,15.395,15.595,15.175,15.475,2021-11-26 17:35:00,CET,2980466,46067460.435,12.007
42,BOUYGUES,FR0000120503,EN,Euronext Paris,EUR,30.42,30.51,29.89,30.04,2021-11-26 17:35:00,CET,3199206,96432104.88,11.489
43,SODEXO,FR0000121220,SW,Euronext Paris,EUR,76.60,76.60,73.22,73.72,2021-11-26 17:37:00,CET,496899,36858603.22,10.87
44,REMY COINTREAU,FR0000130395,RCO,Euronext Paris,EUR,207.00,214.80,204.00,213.40,2021-11-26 17:35:00,CET,147442,31214792.40,10.782
45,ADP,FR0010340141,ADP,Euronext Paris,EUR,108.00,108.20,101.90,104.00,2021-11-26 17:35:00,CET,287485,30131065.00,10.292
46,EDENRED,FR0010908533,EDEN,Euronext Paris,EUR,40.99,41.35,39.80,40.42,2021-11-26 17:39:00,CET,1107776,44979104.47,10.088
47,GECINA,FR0010040865,GFC,Euronext Paris,EUR,119.35,120.50,117.90,119.70,2021-11-26 17:35:00,CET,201833,24156382.05,9.166
48,ARKEMA,FR0010313833,AKE,Euronext Paris,EUR,119.75,119.75,116.90,117.35,2021-11-26 17:35:00,CET,319638,37609901.30,9.005
49,RENAULT,FR0000131906,RNO,Euronext Paris,EUR,30.50,30.815,29.50,29.61,2021-11-26 17:30:00,CET,2810856,84384898.53,8.756
50,EIFFAGE,FR0000130452,FGR,Euronext Paris,EUR,84.80,84.80,81.22,81.76,2021-11-26 17:35:00,CET,981092,80634025.70,8.012
51,FDJ,FR0013451333,FDJ,Euronext Paris,EUR,41.82,42.01,40.47,41.75,2021-11-26 17:38:00,CET,328009,13665938.64,7.974
52,COMPAGNIE ODET,FR0000062234,ODET,Euronext Paris,EUR,1185.00,1205.00,1155.00,1190.00,2021-11-26 17:35:00,CET,1213,1437390.00,7.837
53,SOITEC,FR0013227113,SOI,Euronext Paris,EUR,220.00,227.80,219.80,224.00,2021-11-26 17:35:00,CET,51815,11606592.00,7.817
54,IPSEN,FR0010259150,IPN,Euronext Paris,EUR,88.70,90.18,87.08,89.00,2021-11-26 17:35:00,CET,81540,7257374.56,7.459
55,S.E.B.,FR0000121709,SK,Euronext Paris,EUR,131.90,134.40,131.10,133.20,2021-11-26 17:35:00,CET,69889,9305248.30,7.371
56,GETLINK SE,FR0010533075,GET,Euronext Paris,EUR,13.185,13.205,12.675,13.00,2021-11-26 17:35:00,CET,2250878,29184867.64,7.15
57,DASSAULT AVIATION,FR0014004L86,AM,Euronext Paris,EUR,87.50,87.55,83.80,84.70,2021-11-26 17:35:00,CET,127572,10876488.35,7.071
58,ACCOR,FR0000120404,AC,Euronext Paris,EUR,28.00,28.19,26.10,26.89,2021-11-26 17:36:00,CET,2739923,74303012.40,7.041
59,COVIVIO,FR0000064578,COV,Euronext Paris,EUR,72.62,72.86,70.32,71.90,2021-11-26 17:35:00,CET,318935,22930085.14,6.8
60,SOMFY SA,FR0013199916,SO,Euronext Paris,EUR,171.60,172.60,168.60,169.60,2021-11-26 17:35:00,CET,11552,1971716.40,6.275
61,VALEO,FR0013176526,FR,Euronext Paris,EUR,26.00,26.50,25.19,25.56,2021-11-26 17:35:00,CET,1791325,45953212.19,6.2
62,ANTIN INFRA PARTN,FR0014005AL0,ANTIN,Euronext Paris,EUR,34.60,35.92,34.50,34.96,2021-11-26 17:35:00,CET,29613,1033798.80,6.103
63,EURAZEO,FR0000121121,RF,Euronext Paris,EUR,74.25,74.25,72.85,73.00,2021-11-26 17:35:00,CET,130970,9599890.65,5.783
64,UBISOFT ENTERTAIN,FR0000054470,UBI,Euronext Paris,EUR,43.66,46.03,43.60,44.95,2021-11-26 17:35:00,CET,544422,24595149.81,5.626
65,FAURECIA,FR0000121147,EO,Euronext Paris,EUR,42.00,42.55,40.26,40.34,2021-11-26 17:35:00,CET,1003462,40953378.10,5.568
66,KLEPIERRE,FR0000121964,LI,Euronext Paris,EUR,19.69,19.90,17.93,18.915,2021-11-26 17:35:00,CET,3194188,60805115.69,5.492
67,ORPEA,FR0000184798,ORP,Euronext Paris,EUR,87.00,87.00,83.62,84.04,2021-11-26 17:35:00,CET,329773,27988527.72,5.432
68,REXEL,FR0010451203,RXL,Euronext Paris,EUR,16.925,16.925,16.40,16.46,2021-11-26 17:35:00,CET,1257500,20866392.50,5.032
69,ALD,FR0013258662,ALD,Euronext Paris,EUR,12.38,12.50,12.08,12.32,2021-11-26 17:35:00,CET,197407,2435038.82,4.979
